iter	RMSE
690	24949.48128
691	24941.34846
692	24932.42514
693	24927.584
694	24920.05757
695	24915.52943
696	24909.30619
697	24903.22275
698	24901.46737
699	24893.6722
700	24888.40084
701	24875.50219
702	24873.78716
703	24867.99097
704	24865.71236
705	24853.69786
706	24844.48735
707	24838.3172
708	24832.68515
709	24825.84582
710	24819.94919
711	24811.15968
712	24805.95544
713	24795.90645
714	24792.02898
715	24790.36177
716	24781.812
717	24773.67569
718	24764.9245
719	24761.95167
720	24756.1024
721	24750.76098
722	24742.20652
723	24740.57275
724	24728.72329
725	24725.59354
726	24719.28034
727	24713.79792
728	24703.65112
729	24692.05848
730	24685.17351
731	24674.57627
732	24664.55574
733	24662.91961
734	24656.83487
735	24642.74603
736	24634.20409
737	24628.26092
738	24621.92893
739	24616.18559
740	24614.07521
741	24606.61065
742	24599.64668
743	24594.99591
744	24593.38827
745	24587.62923
746	24585.78448
747	24577.76078
748	24576.19105
749	24566.84728
750	24562.62529
751	24559.31304
752	24551.87907
753	24545.44336
754	24537.63877
755	24532.23024
756	24530.25154
757	24517.94269
758	24516.00332
759	24511.58553
760	24504.87345
761	24499.13118
762	24497.43464
763	24495.79625
764	24492.00659
765	24487.19097
766	24481.7221
767	24472.48351
768	24465.00147
769	24458.09827
770	24451.32035
771	24449.72507
772	24443.60404
773	24435.09452
774	24431.4207
775	24420.66796
776	24412.37203
777	24407.71772
778	24406.00362
779	24404.48201
780	24396.00681
781	24394.54443
782	24387.86075
783	24386.43439
784	24384.08781
785	24379.10852
786	24375.1818
787	24366.13471
788	24362.6093
789	24356.40348
790	24354.90098
791	24347.857
792	24343.12839
793	24335.99094
794	24328.76769
795	24322.65218
796	24314.76431
797	24301.06718
798	24295.86982
799	24288.31529
800	24286.93982
801	24281.55798
802	24273.57888
803	24265.12602
804	24257.47066
805	24247.29767
806	24243.92363
807	24235.26606
808	24225.89643
809	24217.81451
810	24208.58185
811	24197.58445
812	24191.50357
813	24177.97532
814	24171.50123
815	24169.80012
816	24164.6803
817	24161.60944
818	24160.02451
819	24155.2123
820	24147.43627
821	24142.54832
822	24136.48916
823	24130.77634
824	24122.54666
825	24119.60092
826	24115.16101
827	24110.31926
828	24100.80807
829	24097.49839
830	24091.80792
831	24090.26617
832	24083.16234
833	24078.53086
834	24073.33514
835	24066.76495
836	24065.07712
837	24055.34202
838	24054.08012
839	24049.74676
840	24042.20189
841	24036.90482
842	24027.03881
843	24019.10868
844	24012.61121
845	24003.01704
846	23991.19907
847	23987.18932
848	23979.58025
849	23976.49929
850	23971.71542
851	23966.83419
852	23956.25587
853	23950.53388
854	23943.59874
855	23938.25458
856	23936.36811
857	23932.2939
858	23923.13531
859	23912.73057
860	23908.00803
861	23903.43719
862	23902.18416
863	23890.91005
864	23886.12502
865	23881.56599
866	23880.33873
867	23875.04494
868	23873.84229
869	23872.22351
870	23865.96882
871	23864.79948
872	23859.91586
873	23852.2862
874	23847.15961
875	23834.90496
876	23830.32884
877	23821.52439
878	23815.51404
879	23814.37809
880	23813.24252
881	23806.08126
882	23804.0851
883	23797.38743
884	23792.03833
885	23790.1805
886	23787.70081
887	23786.14685
888	23778.9507
889	23768.56595
890	23760.03504
891	23758.92482
892	23756.27018
893	23747.88883
894	23741.11237
895	23734.46697
896	23728.18205
897	23719.45021
898	23714.42147
899	23709.42498
900	23700.97415
901	23696.00529
902	23694.50834
903	23687.786
904	23677.48602
905	23667.32331
906	23661.66194
907	23655.38135
908	23653.82459
909	23646.58128
910	23637.84074
911	23630.74602
912	23627.31703
913	23619.32789
914	23615.55753
915	23614.47751
916	23610.19373
917	23609.13232
918	23603.2152
919	23594.47495
920	23586.10511
921	23577.98504
922	23576.94988
923	23573.51635
924	23567.71233
925	23561.0311
926	23554.49604
927	23549.51239
928	23546.58225
929	23544.13469
930	23537.46955
931	23532.89538
932	23528.8309
933	23523.3706
934	23517.83494
935	23511.49382
936	23510.09008
937	23504.20949
938	23502.65916
939	23493.86001
940	23489.73194
941	23488.72431
942	23487.7431
943	23483.2306
944	23479.45433
945	23475.02392
946	23468.64715
947	23463.22548
948	23456.71376
949	23447.10552
950	23446.14696
951	23437.9551
952	23436.30043
953	23431.13089
954	23424.2158
955	23418.16039
956	23411.13802
957	23403.11351
958	23402.15079
959	23398.2244
960	23390.55143
961	23385.00281
962	23379.27835
963	23375.04656
964	23374.1108
965	23368.79414
966	23362.46573
967	23359.43793
968	23353.53444
969	23349.00998
970	23341.35348
971	23334.47281
972	23329.43199
973	23320.40849
974	23317.43427
975	23312.13141
976	23305.9813
977	23305.04537
978	23298.92454
979	23293.02603
980	23284.3742
981	23278.8696
982	23277.6799
983	23270.12742
984	23266.48758
985	23263.39048
986	23260.42772
987	23255.79155
988	23250.83457
989	23248.66829
990	23247.76602
991	23246.43299
992	23244.16502
993	23240.13652
994	23234.40776
995	23223.67936
996	23222.28969
997	23216.05399
998	23207.82981
999	23199.073
